Result,GlassDamage,WaterDamage,BumperDamage,RolledOver,SideDoorDamage,SlidOffRoad,UrbanLocation,SuburbanLocation,RuralLocation,DayTime,NightTime,ClearWeather,RainyWeather,SnowyWeather,DryRoadCondition,WetRoadCondition,SnowyRoadCondition,Bumps&Dings,EngineDamage,ExtremeDamageSeverity,HighDamageSeverity,ModerateDamageSeverity,LowDamageSeverity,NoDamageSeverity
Precision,0.772286057,0.933333337,0.7991714,0.9814815,0.725448,0.8535816,0.8055556,0.6866634,0.8337912,0.9352511,0.6666667,0.922657251,0.333333343,0.7843915,0.8947902,0.8885004,0.7534392,0.883482754,0.720927536,0.8688672,0.5645503,0.6666667,0.942857146,0.8741084
Recall,0.585452735,0.468975484,0.742268,0.65442276,0.4027211,0.5037594,0.100035444,0.571768641,0.5575607,0.978699446,0.12254902,0.939386845,0.0303030312,0.542760968,0.888624847,0.389008373,0.4051282,0.8192345,0.462946773,0.6424386,0.16466409,0.05365187,0.361598432,0.450925946
